UserID,AvatarID,GameArea,Sex,GoldAmount,Gold
6177479,4301144775,0,0,79,47000
17345583,4312312879,0,1,4,1880
10101977,17189971161,0,1,73,43240
10182486,4305149782,0,1,1329,797120
252658,8590187250,0,1,398,238760
6986519,12891888407,0,1,306,183488
939343,4295906639,0,1,467,280120
5837235,4300804531,0,1,82,48880
8902599,4303869895,0,0,420,251920
21189371,4316156667,0,0,91,54520
22030579,4316997875,0,0,138,82720
22411473,4317378769,0,1,182,109040
19530526,8609465118,0,1,2861,1716440
6194128,4301161424,0,1,1974,1184400
9364155,4304331451,0,1,16,9400
20823586,4315790882,0,1,464,278240
21687129,4316654425,0,1,248,148520
4781576,4299748872,0,1,305,182736
16031857,4310999153,0,1,5,2632
16263925,8606198517,0,1,170,101520
1303399,4296270695,0,0,116,69560
14053598,4309020894,0,0,1241,744480
20591182,4315558478,0,1,4,2068
9559696,4304526992,0,1,351,210560
9578063,4304545359,0,1,235,141000
21369513,4316336809,0,0,1542,924960
3393429,8593328021,0,1,106,63168
7186446,8597121038,0,1,113,67680
22437727,8612372319,0,0,587,351748
10515693,12895417581,0,1,499,298920
15408040,4310375336,0,1,4,2256
22142994,4317110290,0,1,1092,654804
22638556,4317605852,0,1,16,9400
13412407,8603346999,0,1,199,119004
21963230,4316930526,0,1,508,304748
16673951,8606608543,0,1,879,527340
17118086,8607052678,0,0,98,58280
2105292,4297072588,0,0,161,96256
6725505,4301692801,0,1,2197,1317880
8426798,4303394094,0,1,483,289520
14732199,4309699495,0,1,173,103400
13423830,4308391126,0,1,850,509480
16651401,4311618697,0,1,16,9400
4651296,8594585888,0,0,458,274480
3000829,4297968125,0,1,88,52640
13770295,4308737591,0,1,113,67680
16839875,4311807171,0,0,186,111108
18166322,4313133618,0,1,559,334828
22423876,4317391172,0,1,511,306440
22590364,8612524956,0,0,276,165440
22218869,4317186165,0,0,401,240452
8813218,21483649698,0,1,1702,1020840
21468158,4316435454,0,1,160,95880
4460088,8594394680,0,1,3178,1906320
7283582,8597218174,0,1,3212,1927000
4044409,4299011705,0,1,4794,2876400
6867895,4301835191,0,0,483,289520
7610181,4302577477,0,0,44,26320
20825429,4315792725,0,1,120,71440
22391185,4317358481,0,1,1978,1186280
6329078,4301296374,0,0,981,588440
18224791,4313192087,0,1,408,244400
21857613,4316824909,0,1,5525,3314816
9486441,12894388329,0,1,16,9400
3638829,4298606125,0,1,815,488800
5565442,4300532738,0,0,282,169200
5744766,4300712062,0,0,3544,2126280
10850322,4305817618,0,1,599,359080
12751237,4307718533,0,1,1241,744480
21502818,4316470114,0,1,32,18800
11889201,8601823793,0,0,60,35720
19244230,8609178822,0,0,1053,631680
7422470,4302389766,0,1,705,423000
10449085,4305416381,0,1,442,265080
16573837,4311541133,0,1,897,537680
17869904,4312837200,0,0,611,366600
19858503,4314825799,0,1,2153,1291560
2228324,17182097508,0,1,94,56400
625806,4295593102,0,1,304,182360
9448681,4304415977,0,1,4,1880
9991151,4304958447,0,1,727,436160
13182813,4308150109,0,0,318,190632
14035990,4309003286,0,1,88,52640
14546717,4309514013,0,1,1924,1154320
19495113,4314462409,0,1,3209,1925120
11572779,4306540075,0,0,314,188000
18706946,4313674242,0,1,179,107160
21863717,4316831013,0,1,15476,9285320
4577478,17184446662,0,1,370,221840
2609200,4297576496,0,1,467,280120
5928734,4300896030,0,1,564,338400
15934929,4310902225,0,0,3429,2056908
11241385,25781045161,0,1,310,185744
